"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"negative",6,"dully paid","radio/tv",1169,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"real estate",67,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",48,"delayed","radio/tv",5951,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"real estate",22,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",12,"dully paid","education",2096,"between 500 and 999","less than 7 years",2,"male","single","individual",3,"real estate",49,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"negative",42,"delayed","furniture/equipment",7882,"between 500 and 999","less than 7 years",2,"male","single","guaranteed",4,"life insurance",45,"no debt","free use",1,"skilled",2,"no","yes","good"
"negative",24,"critical","new car",4870,"between 500 and 999","less than 4 years",3,"male","single","individual",4,"no collateral",53,"no debt","free use",2,"skilled",2,"no","yes","bad"
"no checking",36,"delayed","education",9055,"between 100 and 499","less than 4 years",2,"male","single","individual",4,"no collateral",35,"no debt","free use",1,"unskilled res",2,"yes","yes","good"
"no checking",24,"delayed","furniture/equipment",2835,"more than or = 1000","more than 7 years",3,"male","single","individual",4,"life insurance",53,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",36,"delayed","used car",6948,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",35,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"no checking",12,"delayed","radio/tv",3059,"no savingss","less than 7 years",2,"male","divorced","individual",4,"real estate",61,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",30,"dully paid","new car",5234,"between 500 and 999","unemployed",4,"male","married/widowed","individual",2,"vehicle",28,"no debt","owned",2,"highly qualified",1,"no","yes","bad"
"less than 200",12,"delayed","new car",1295,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",1,"vehicle",25,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",48,"delayed","business",4308,"between 500 and 999","less than 1 year",3,"female","unspecified","individual",4,"life insurance",24,"no debt","rented",1,"skilled",1,"no","yes","bad"
"less than 200",12,"delayed","radio/tv",1567,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",1,"vehicle",22,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",24,"dully paid","new car",1199,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",60,"no debt","owned",2,"unskilled res",1,"no","yes","bad"
